"Timestamp","What is your main occupation?","Select main country or region of your workplace in past 5 years. [among the countries in Top500 list as of Nov. 2018. If you cannot find your country or region, please specify.]","Rate your overall programming skill (non-MPI programs):","Rate your MPI programming skill:","What programming language(s) do you use most often?","How long have you been writing computer programs (incl. non-MPI programs)?","How long have you been writing MPI programs?","Which fields are you mostly working in?","What is your major role at your place of work?","Have you ever read the MPI standard specification document?","How did you learn MPI?","Which MPI book(s) have you read?","Which MPI implementations do you use?","Why did you choose the MPI implementation(s)? [Select most suitable one]","How do you check MPI specifications when you are writing MPI programs?","What is the most difficult part of writing an MPI program?","Which MPI features have you never heard of?","What aspects of the MPI standard do you use in your program in its current form?","Which MPI thread support are you using?","What are your obstacles to mastering MPI?","When you call an MPI routine, how often do you check the error code of the MPI routine  (excepting MPI-IO)?","In most of your programs, do you pack MPI function calls into their own file or files to have your own abstraction layer for communication?","Have you ever written MPI+”X” programs? If so, select all that apply.","Is there any room for performance tuning in your MPI programs? Select most suitable one.","What, if any, alternatives are you investigating to indirectly call MPI or another communication layer by using another parallel language/library?","If there were one communication aspect which is not enough in the current MPI could improve the performance of your application, what would you prioritize? Or is MPI providing all the communication semantics required by your application? If not, what is missing?","Is MPI providing all the communication semantics required by your application? If not, what is missing?","What MPI feature(s) are NOT useful for you application?","Do you think the MPI standard should maintain backward compatibility?","In the tradeoff between code portability and performance, which is more or less important for you to write MPI programs? [""1"" means portability is the most important and ""3"" means both are equally important.]"
"2019/02/17 8:28:28 PM AST","Private research institute","United States","5","5","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read the MPI standard document.;I read book(s).","MPI: The Complete Reference","MPICH;Open MPI;MVAPICH;IBM MPI (BG/Q, PE, Spectrum)","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).","Implementation issue workaround","Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","MPI_THREAD_MULTIPLE","I have no obstacles.","Mostly","No, MPI calls are scattered in my programs.","Pthread","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","5"
"2019/02/17 8:52:58 PM AST","College/University","Brazil","6","5","C/C++;Python","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);AI (Deep Learning);Workflow and/or In-situ","Research and development of application(s);Research and development on system software (OS and/or runtime library)","","I read book(s).","I have never read any MPI books","MPICH;Open MPI","I am familiar with it.","I search the Internet (Google / Stack Overflow).","Algorithm design","","Point-to-point communications;Communicator operations (split, duplicate, and so on);MPI datatypes;Dynamic process creation;Persistent communications","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","the message passing paradigm ","","Yes, to minimize the changes of communication API.","No","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.","dynamic scheduling ","Resilience (fault tolerance)","Error handlers","Yes, compatibility is very important for me.","4"
"2019/02/17 9:18:22 PM AST","College/University","Korea, South","5","4","C/C++;Python","more than 10 years","between 2 and 5 years","System software development (OS, runtime library, communication library, etc.);AI (Deep Learning)","Research and development on system software (OS and/or runtime library)","I read only the chapters of interest for my work.","I read book(s).;I had lecture(s) at school.","Parallel Programming in C with MPI and OpenMP","MPICH;Open MPI","I am familiar with it.","I read book(s) (except the MPI standard).;I read online documents (such as man pages).","Finding appropriate MPI routines","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes","I have never called MPI_INIT_THREAD","I have nobody to ask.","Sometimes","Yes, but I have no special reason for doing that.","No","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Dynamic process creation","I do not know or I do not care.","2"
"2019/02/17 9:46:43 PM AST","Other","United States","6","6","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language);Numerical application and/or library;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development on system software (OS and/or runtime library);Research and development software tool(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read the MPI standard document.;I read book(s).;I had lecture(s) at school.;I read articles found on Internet.","Using MPI;MPI: The Complete Reference","MPICH;Open MPI;MVAPICH;Intel MPI;Cray MPI;IBM MPI (BG/Q, PE, Spectrum);MS MPI;Adaptive MPI","I have no special reason.","I read online documents (such as man pages).","Algorithm design","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;PMPI interface","MPI_THREAD_FUNNELED;MPI_THREAD_MULTIPLE","I have no obstacles.","I rely on the default ‘Errors abort’ error handling","Yes, to minimize the changes of communication API.","OpenMP;Pthread;CUDA","Yes, I am actively doing tuning work","A framework or library using MPI.;Dynamic runtime system that MPI usage to provide asynchronous execution","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Endpoints (multi-thread, sessions);Resilience (fault tolerance);MPI is providing all the communication semantics required by my application","Dynamic process creation;Error handlers","Yes, compatibility is very important for me.","4"
"2019/02/18 2:58:27 AM AST","College/University","Germany","5","5","C/C++;Python","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Tool development (performance tuning, debugging, etc.)","Management","I read only the chapters of interest for my work.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).","I have never read any MPI books","MPICH;Open MPI;Intel MPI;IBM MPI (BG/Q, PE, Spectrum)","I like to use it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation;Persistent communication","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications;MPI with OpenMP (or multithread);PMPI interface","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","Too many routines.;Too complicated and hard to understand.;I do not like the API.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","Multi-threading support","Endpoints (multi-thread, sessions);Another API which is easier and/or simpler to use","Dynamic process creation","I prefer to have new API which is simpler and/or easier-to-use.","4"
"2019/02/18 5:48:47 AM AST","College/University","Germany","4","4","C/C++","between 2 and 5 years","less than 2 years","Numerical application and/or library;Workflow and/or In-situ;Visualization;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","I have never read any MPI books","Open MPI","I like to use it.","I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Collective communications;MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD","Too complicated and hard to understand.;no unified, simplified (i.e. for beginners) function documentation (with usage examples)","Always","No, MPI calls are scattered in my programs.","OpenMP","I think there is room but I do not know how to tune it.","I am not investigating any alternatives.","ensure information from one-sided call (e.g. MPI_Get) has arrived, without the need to close the communication fence (i.e. synchronize all ranks at once)","Latency hiding (including asynchronous completion);Another API which is easier and/or simpler to use","Communicator and group management","I prefer to have new API which is simpler and/or easier-to-use.","3"
"2019/02/18 6:15:32 AM AST","College/University","Spain","6","6","C/C++","more than 10 years","more than 10 years","Parallel language (incl. domain specific language)","Research and development of application(s)","I read only the chapters of interest for my work.","I had lecture(s) at school.","I have never read any MPI books","Open MPI;Intel MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;One-sided communications;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD","I have no obstacles.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Bandwidth","MPI is providing all the communication semantics required by my application","Process topologies","Yes, compatibility is very important for me.","1"
"2019/02/18 7:24:41 AM AST","College/University","Argentina","5","5","C/C++;Java;Python","more than 10 years","more than 10 years","Big data","Research and development of application(s)","I read only the chapters of interest for my work.","I read articles found on Internet.","I have never read any MPI books","MPICH;Open MPI","I have no special reason.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","Too many routines.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Multi-threading support","MPI is providing all the communication semantics required by my application","One-sided communication","Yes, compatibility is very important for me.","4"
"2019/02/18 7:56:20 AM AST","Governmental institute","France","5","4","C/C++","more than 10 years","between 5 and 10 years","System software development (OS, runtime library, communication library, etc.);Tool development (performance tuning, debugging, etc.)","Research and development on system software (OS and/or runtime library);Research and development software tool(s)","I read most of it.","I had lecture(s) at school.","Parallel Programming with MPI;Using MPI;MPI: The Complete Reference","MPICH;Open MPI;MVAPICH","I am familiar with it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Debugging","","Point-to-point communications;Collective communications;MPI with OpenMP (or multithread)","MPI_THREAD_FUNNELED;MPI_THREAD_MULTIPLE","Too many routines.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","OpenMP;Pthread;CUDA","I think there is room but I do not know how to tune it.","I am not investigating any alternatives.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","MPI is providing all the communication semantics required by my application","Dynamic process creation","I prefer to have new API which is simpler and/or easier-to-use.","3"
"2019/02/18 9:01:55 AM AST","College/University","Germany","5","5","C/C++;Python","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development on system software (OS and/or runtime library);Research and development software tool(s);Performance tuning of MPI program(s)","I read most of it.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.;From experts and interaction with MPI-Forum members","","Open MPI;MVAPICH;Intel MPI;Cray MPI;NEC MPI","I am familiar with it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I ask colleagues.;I know almost all MPI routines.","Performance tuning","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread);MPI I/O","MPI_THREAD_MULTIPLE","While send/recv and collectives are easy to start, the amount of specialized functions is sometimes hard to oversea","","No, MPI calls are scattered in my programs.","OpenMP;Pthread;OmpSs","No, my MPI programs are well-tuned.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).;A Domain Specific Language (DSL).;Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Latency hiding (including asynchronous completion);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Dynamic process creation;Error handlers","API should be clearly versioned.","4"
"2019/02/18 9:18:29 AM AST","College/University","United States","5","4","C/C++;Python","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).;I read articles found on Internet.","Using MPI;MPI: The Complete Reference","MPICH;Open MPI","I have no special reason.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","I have never called MPI_INIT_THREAD","I have no obstacles.","I rely on the default ‘Errors abort’ error handling","It depends on the program; my longer programs have abstraction layers but shorter ones do not","","I do not know how to find bottlenecks.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","One-sided communication;Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/02/18 9:24:11 AM AST","Software vendor","United Kingdom","5","4","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Numerical application and/or library","Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","No, and I will not read it.","I read book(s).;I had lecture(s) at school.","Using MPI","MPICH;Open MPI;Intel MPI;Cray MPI","I could not have any choice (the one provided by a vendor).","I read book(s) (except the MPI standard).;I search the Internet (Google / Stack Overflow).","Algorithm design","Persistent communication","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_MULTIPLE","I have no obstacles.","Always","No, MPI calls are scattered in my programs.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Multi-threading support","MPI is providing all the communication semantics required by my application","Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/02/18 9:35:38 AM AST","Governmental institute","Italy","5","5","C/C++;Fortran (older one than Fortran 90)","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Numerical application and/or library","Research and development of application(s);Parallelization of sequential program(s)","","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).","Using MPI;MPI: The Complete Reference","MPICH;Intel MPI","I like to use it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications","I have never called MPI_INIT_THREAD","I have no obstacles.","Mostly","Yes, but I have no special reason for doing that.","No","I think there is room but I do not know how to tune it.","A framework or library using MPI.","Message injection rate","Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","Yes, compatibility is very important for me.","3"
